,Table 1. States/UTs & Type - Wise Number of Universities registered in AISHE,,,,,,,,,,,,,
S.No. ,States/UTs,Central University,Central Open University,Institute of National Importance,State Public University,Institute under State Legislature Act,State Open University,State Private University,State Private Open University,Deemed University-Government,Deemed University-Government Aided,Deemed University-Private,Grand Total,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
1,Andhra Pradesh,3,,10,24,1,,5,,,,4,47,
2,Arunachal Pradesh,1,,1,,,,6,1,1,,,10,
3,Assam,2,,5,15,,1,6,,1,,,30,
4,Bihar,4,,6,17,1,1,7,,1,,,37,
5,Chandigarh,,,1,1,,,,,1,,,3,
6,Chhattisgarh,1,,4,14,,1,14,,,,,34,
7,Delhi,6,1,6,9,,,,,6,1,1,30,
8,Goa,,,2,1,,,,,,,,3,
9,Gujarat,1,,9,26,,1,51,,1,1,1,91,
10,Haryana,1,,5,20,,,24,,3,,3,56,
11,Himachal Pradesh,1,,5,7,,,17,,,,,30,
12,Jammu and Kashmir,2,,4,9,1,,,,,,,16,
13,Jharkhand,1,,5,11,,,15,,,,1,33,
14,Karnataka,1,,6,33,,1,20,,2,,12,75,
15,Kerala,1,,6,14,,1,,,2,,1,25,
16,Ladakh,,,,1,,,,,1,,,2,
17,Madhya Pradesh,2,,10,23,,1,40,,1,,,77,
18,Maharashtra,1,,7,23,,1,21,,7,2,12,74,
19,Manipur,3,,2,3,,,2,,,,,10,
20,Meghalaya,1,,2,,,,8,,,,,11,
21,Mizoram,1,,1,,,,1,,,,,3,
22,Nagaland,1,,1,,,,4,,,,,6,
23,Odisha,1,,5,19,,1,8,,,,3,37,
24,Puducherry,1,,2,,,,,,,,1,4,
25,Punjab,1,,6,12,,1,18,,1,,1,40,
26,Rajasthan,1,,5,26,1,1,49,,,,7,90,
27,Sikkim,1,,1,1,,,6,,,,,9,
28,Tamil Nadu,2,,7,21,,1,3,,,2,26,62,
29,Telangana,3,,4,15,1,1,4,,1,,2,31,
30,Tripura,1,,2,1,,,1,,,,,5,
31,Uttar Pradesh,6,,11,32,1,1,31,,2,3,4,91,
32,Uttarakhand,1,,4,10,,1,19,,1,1,1,38,
33,West Bengal,1,,8,35,,1,11,,1,,1,58,
All India,,53,1,153,423,6,16,391,1,33,10,81,1168,
,"In UTs of , Andaman & Nicobar Islands,  Dadra & Nagar Haveli, Daman & Diu and Lakshadweep, there is no University.",,,,,,,,,,,,,
