id,stableKey,name,state,city,aisheCode,website_present,courses_present,fees_present,fees_verified,rankings_present,placements_present,seats_present,cutoffs_present,source_metadata_present,truth_grade,frontend_fee_visible,frontend_placement_visible,frontend_ranking_visible,num_courses,num_rankings,num_placement_fields,num_fee_fields,num_cutoffs,num_seats
"C-10086","C-10086","SVES'S B.PED COLLEGE, HARUGERI","Karnataka","","C-10086","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10813","C-10813","Manav Institute of Education","Haryana","","C-10813","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11785","C-11785","Govt. Law College, Ernakulam 682 011","Kerala","","C-11785","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-29193","C-29193","Govt. Medical College, Majitha Road, Amritsar","Punjab","","C-29193","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10857","C-10857","G.M.N. College,","Haryana","","C-10857","true","","true","true","true","true","","","true","official_verified","true","","true","","1","8","6","",""
"C-10858","C-10858","Vision International College of Education","Haryana","","C-10858","true","true","true","","","true","","","true","legacy","true","","","12","","1","6","",""
"C-10859","C-10859","Govt. College, Chhachhrauli","Haryana","","C-10859","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10861","C-10861","Satyam College of Education for Women","Haryana","","C-10861","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10863","C-10863","Maharishi Dayanand College of Education","Haryana","","C-10863","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10864","C-10864","S.D. Mahila Mahavidyalaya, Narwana","Haryana","","C-10864","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10865","C-10865","Mata Sundri Khalsa Girls  College, Nissing (Karnal)","Haryana","","C-10865","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10866","C-10866","Jeevan Chanan Mahila Mahavidyalaya, Assandh","Haryana","","C-10866","true","true","true","","","true","","","true","legacy","true","","","12","","1","6","",""
"C-10867","C-10867","Swami Devi Dyal College of Education","Haryana","","C-10867","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
