number_id,displayed_value,normalized_value,unit,label_context,page_section,frontend_file,source_status,truth_status,risk_level,layer
"NUM_707","7.7","7.7","count","06.56 4.21 1.64l3.15-3.15C17.45 2.09 14.97 1 12 1 7.7 1 3.99 3.47 2.18 7.07l3.66 2.84c.87-2.6 3.3-4.53 ","Page","frontend\src\app\admin\page.js","FALLBACK_CONSTANT","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_708","1","1","count","6 4.21 1.64l3.15-3.15C17.45 2.09 14.97 1 12 1 7.7 1 3.99 3.47 2.18 7.07l3.66 2.84c.87-2.6 3.3-4.53 6.","Page","frontend\src\app\admin\page.js","FALLBACK_CONSTANT","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_709","3.99","3.99","count","4.21 1.64l3.15-3.15C17.45 2.09 14.97 1 12 1 7.7 1 3.99 3.47 2.18 7.07l3.66 2.84c.87-2.6 3.3-4.53 6.16-4.","Page","frontend\src\app\admin\page.js","FALLBACK_CONSTANT","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_710","3.47","3.47","count","1.64l3.15-3.15C17.45 2.09 14.97 1 12 1 7.7 1 3.99 3.47 2.18 7.07l3.66 2.84c.87-2.6 3.3-4.53 6.16-4.53z"" ","Page","frontend\src\app\admin\page.js","FALLBACK_CONSTANT","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_769","2","2","count"," <div> <h2 style={{ textTransform: 'capitalize' }}>{activeTa","Page","frontend\src\app\admin\page.js","COMPUTED_FRONTEND","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_770","2","2","count",": 'capitalize' }}>{activeTab.replace(""-"", "" "")}</h2> <p>Platform Status: <sp","Page","frontend\src\app\admin\page.js","COMPUTED_FRONTEND","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_777","360","360","count"," @keyframes spin { to { transform: rotate(360deg) } } @keyframes pulse { 0%, 1","Page","frontend\src\app\admin\page.js","COMPUTED_FRONTEND","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_845","0","0","count","ined) return null; const positive = delta >= 0; return ( <span style={{ ","Page","frontend\src\app\admin\tabs\DashboardTab.jsx","FALLBACK_CONSTANT","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_911","3","3","count","vity — Last 24 Hours (hourly) </h3> {loading ? ( ","Page","frontend\src\app\admin\tabs\DashboardTab.jsx","FALLBACK_CONSTANT","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_971","0","0","count"," {data?.chart?.every(d => d.actions === 0) && !loading && ( <p style={","Page","frontend\src\app\admin\tabs\DashboardTab.jsx","FALLBACK_CONSTANT","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_1010","0","0","count"," {data?.recentActivity?.length === 0 && !loading && ( <div className=","Page","frontend\src\app\admin\tabs\DashboardTab.jsx","FALLBACK_CONSTANT","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_1018","360","360","count"," @keyframes spin { to { transform: rotate(360deg); } } `}</style> </div> ","Page","frontend\src\app\admin\tabs\DashboardTab.jsx","COMPUTED_FRONTEND","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_1034","0","0","count"," const sev = SEV[getSeverity(a.anomalyScore || 0)]; const isResolved = a.status === 'resolved","Page","frontend\src\app\admin\tabs\IntegrityTab.jsx","FALLBACK_CONSTANT","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_1041","0,","0","count"," {String(a.collegeId || a._id || '—').substring(0, 12)} </td> <td ","Page","frontend\src\app\admin\tabs\IntegrityTab.jsx","COMPUTED_FRONTEND","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_1042","12","12","count","{String(a.collegeId || a._id || '—').substring(0, 12)} </td> <td sty","Page","frontend\src\app\admin\tabs\IntegrityTab.jsx","COMPUTED_FRONTEND","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_1059","0","0","count"," {sev.label} ({Math.round(a.anomalyScore || 0)}) </span> ","Page","frontend\src\app\admin\tabs\IntegrityTab.jsx","API_DERIVED","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_1092","0","0","count","Anomaly Score', val: Math.round(a.anomalyScore || 0) }, { label: 'Z-","Page","frontend\src\app\admin\tabs\IntegrityTab.jsx","FALLBACK_CONSTANT","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_1093","2","2","count"," { label: 'Z-Score', val: a.zScore?.toFixed(2) ?? '—' }, { lab","Page","frontend\src\app\admin\tabs\IntegrityTab.jsx","API_DERIVED","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_1094","2","2","count","(a.createdAt).toLocaleDateString('en-IN', { day: '2-digit', month: 'short', year: '2-digit' }) : '—' ","Page","frontend\src\app\admin\tabs\IntegrityTab.jsx","COMPUTED_FRONTEND","INTERNAL_TECHNICAL_OR_SAFE_UI","SAFE","L2_FILTERED"
"NUM_1095","2","2","count","'en-IN', { day: '2-digit', month: 'short', year: '2-digit' }) : '—' }, ","Page","frontend\src\app\admin\tabs\IntegrityTab.jsx","COMPUTED_FRONTEND","API_DERIVED_UNVERIFIED","SAFE","L3_FACTUAL"
