frontend_route_id,catalog_id,canonical_core_id,normalized_name,seat_matrix_id,engineering_cutoffs_id,resolver_output_id,mismatch_type,risk_level,recommended_fix
"CORE-CORE-IIIT-CHITTOOR","CORE-CORE-IIIT-CHITTOOR","CORE-IIIT-CHITTOOR","CORE IIIT CHITTOOR","CORE-IIIT-CHITTOOR","CORE-IIIT-CHITTOOR","CORE-IIIT-CHITTOOR","DETERMINISTIC_REWRITE_READY","REVIEW","Rewrite institution_id to CORE-IIIT-CHITTOOR"
"CORE-CORE-IIIT-GUWAHATI","CORE-CORE-IIIT-GUWAHATI","CORE-IIIT-GUWAHATI","CORE IIIT GUWAHATI","CORE-IIIT-GUWAHATI","CORE-IIIT-GUWAHATI","CORE-IIIT-GUWAHATI","DETERMINISTIC_REWRITE_READY","REVIEW","Rewrite institution_id to CORE-IIIT-GUWAHATI"
"CORE-CORE-IIIT-KARNATAKA","CORE-CORE-IIIT-KARNATAKA","CORE-IIIT-KARNATAKA","CORE IIIT KARNATAKA","MISSING","CORE-IIIT-KARNATAKA","CORE-IIIT-KARNATAKA","DETERMINISTIC_REWRITE_READY","REVIEW","Rewrite institution_id to CORE-IIIT-KARNATAKA"
"CORE-CORE-IIIT-MANIPUR","CORE-CORE-IIIT-MANIPUR","CORE-IIIT-MANIPUR","CORE IIIT MANIPUR","CORE-IIIT-MANIPUR","CORE-IIIT-MANIPUR","CORE-IIIT-MANIPUR","DETERMINISTIC_REWRITE_READY","REVIEW","Rewrite institution_id to CORE-IIIT-MANIPUR"
"CORE-CORE-IIIT-PRADESH","CORE-CORE-IIIT-PRADESH","CORE-CORE-IIIT-PRADESH","CORE IIIT PRADESH","MISSING","MISSING","CORE-CORE-IIIT-PRADESH","MANUAL_CANONICAL_TARGET_REQUIRED","REVIEW_HIGH","Manual canonical target required before migration"
"CORE-CORE-IIIT-RAJASTHAN","CORE-CORE-IIIT-RAJASTHAN","CORE-IIIT-RAJASTHAN","CORE IIIT RAJASTHAN","MISSING","CORE-IIIT-RAJASTHAN","CORE-IIIT-RAJASTHAN","DETERMINISTIC_REWRITE_READY","REVIEW","Rewrite institution_id to CORE-IIIT-RAJASTHAN"
"CORE-CORE-IIIT-TIRUCHIRAPPALLI","CORE-CORE-IIIT-TIRUCHIRAPPALLI","CORE-IIIT-TIRUCHIRAPPALLI","CORE IIIT TIRUCHIRAPPALLI","CORE-IIIT-TIRUCHIRAPPALLI","CORE-IIIT-TIRUCHIRAPPALLI","CORE-IIIT-TIRUCHIRAPPALLI","DETERMINISTIC_REWRITE_READY","REVIEW","Rewrite institution_id to CORE-IIIT-TIRUCHIRAPPALLI"
"CORE-GHANI-KHAN-CHOUDHARY-INSTITUTE-OF-ENGINEERING-AND-TECHNOLOGY-MALDA-WEST-BENGAL","CORE-GHANI-KHAN-CHOUDHARY-INSTITUTE-OF-ENGINEERING-AND-TECHNOLOGY-MALDA-WEST-BENGAL","CORE-GHANI-KHAN-CHOUDHARY-INSTITUTE-OF-ENGINEERING-AND-TECHNOLOGY-MALDA-WEST-BENGAL","Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal","Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal","Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal","CORE-GHANI-KHAN-CHOUDHARY-INSTITUTE-OF-ENGINEERING-AND-TECHNOLOGY-MALDA-WEST-BENGAL","NONE","SAFE","None"
"CORE-MANIPAL-INSTITUTE-OF-TECHNOLOGY-MANIPAL","CORE-MANIPAL-INSTITUTE-OF-TECHNOLOGY-MANIPAL","CORE-MANIPAL-INSTITUTE-OF-TECHNOLOGY-MANIPAL","Manipal Institute of Technology, Manipal","MISSING","Manipal Institute of Technology, Manipal","CORE-MANIPAL-INSTITUTE-OF-TECHNOLOGY-MANIPAL","NONE","SAFE","None"
"CORE-NATIONAL-INSTITUTE-OF-FOOD-TECHNOLOGY-ENTREPRENEURSHIP-AND-MANAGEMENT-THANJAVUR","CORE-NATIONAL-INSTITUTE-OF-FOOD-TECHNOLOGY-ENTREPRENEURSHIP-AND-MANAGEMENT-THANJAVUR","CORE-NATIONAL-INSTITUTE-OF-FOOD-TECHNOLOGY-ENTREPRENEURSHIP-AND-MANAGEMENT-THANJAVUR","NATIONAL INSTITUTE OF FOOD TECHNOLOGY, ENTREPRENEURSHIP AND MANAGEMENT -THANJAVUR","MISSING","MISSING","CORE-NATIONAL-INSTITUTE-OF-FOOD-TECHNOLOGY-ENTREPRENEURSHIP-AND-MANAGEMENT-THANJAVUR","NONE","SAFE","None"
"CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-MESRA-RANCHI","CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-MESRA-RANCHI","CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-MESRA-RANCHI","Birla Institute of Technology, Mesra, Ranchi","Birla Institute of Technology, Mesra, Ranchi","Birla Institute of Technology, Mesra, Ranchi","CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-MESRA-RANCHI","NONE","SAFE","None"
"CORE-INSTITUTE-OF-INFRASTRUCTURE-TECHNOLOGY-RESEARCH-AND-MANAGEMENT-AHMEDABAD","CORE-INSTITUTE-OF-INFRASTRUCTURE-TECHNOLOGY-RESEARCH-AND-MANAGEMENT-AHMEDABAD","CORE-INSTITUTE-OF-INFRASTRUCTURE-TECHNOLOGY-RESEARCH-AND-MANAGEMENT-AHMEDABAD","Institute of Infrastructure, Technology, Research and Management-Ahmedabad","Institute of Infrastructure, Technology, Research and Management-Ahmedabad","Institute of Infrastructure, Technology, Research and Management-Ahmedabad","CORE-INSTITUTE-OF-INFRASTRUCTURE-TECHNOLOGY-RESEARCH-AND-MANAGEMENT-AHMEDABAD","NONE","SAFE","None"
"CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-BHUBANESWAR","CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-BHUBANESWAR","CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-BHUBANESWAR","International Institute of Information Technology, Bhubaneswar","International Institute of Information Technology, Bhubaneswar","International Institute of Information Technology, Bhubaneswar","CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-BHUBANESWAR","NONE","SAFE","None"
"CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-NAYA-RAIPUR","CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-NAYA-RAIPUR","CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-NAYA-RAIPUR","International Institute of Information Technology, Naya Raipur","International Institute of Information Technology, Naya Raipur","International Institute of Information Technology, Naya Raipur","CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-NAYA-RAIPUR","NONE","SAFE","None"
"CORE-AICTE-1-44637260101","CORE-AICTE-1-44637260101","CORE-AICTE-1-44637260101","AICTE Institution 1-44637260101","MISSING","MISSING","CORE-AICTE-1-44637260101","NONE","SAFE","None"
"CORE-AICTE-1-44638089876","CORE-AICTE-1-44638089876","CORE-AICTE-1-44638089876","AICTE Institution 1-44638089876","MISSING","MISSING","CORE-AICTE-1-44638089876","NONE","SAFE","None"
"CORE-AICTE-1-44638180495","CORE-AICTE-1-44638180495","CORE-AICTE-1-44638180495","AICTE Institution 1-44638180495","MISSING","MISSING","CORE-AICTE-1-44638180495","NONE","SAFE","None"
"CORE-AICTE-1-44638230051","CORE-AICTE-1-44638230051","CORE-AICTE-1-44638230051","AICTE Institution 1-44638230051","MISSING","MISSING","CORE-AICTE-1-44638230051","NONE","SAFE","None"
"CORE-AICTE-1-44638339730","CORE-AICTE-1-44638339730","CORE-AICTE-1-44638339730","AICTE Institution 1-44638339730","MISSING","MISSING","CORE-AICTE-1-44638339730","NONE","SAFE","None"
"CORE-AICTE-1-44638343530","CORE-AICTE-1-44638343530","CORE-AICTE-1-44638343530","AICTE Institution 1-44638343530","MISSING","MISSING","CORE-AICTE-1-44638343530","NONE","SAFE","None"
"CORE-AICTE-1-44638417896","CORE-AICTE-1-44638417896","CORE-AICTE-1-44638417896","AICTE Institution 1-44638417896","MISSING","MISSING","CORE-AICTE-1-44638417896","NONE","SAFE","None"
"CORE-AICTE-1-44638506195","CORE-AICTE-1-44638506195","CORE-AICTE-1-44638506195","AICTE Institution 1-44638506195","MISSING","MISSING","CORE-AICTE-1-44638506195","NONE","SAFE","None"
"CORE-AICTE-1-44638573601","CORE-AICTE-1-44638573601","CORE-AICTE-1-44638573601","AICTE Institution 1-44638573601","MISSING","MISSING","CORE-AICTE-1-44638573601","NONE","SAFE","None"
"CORE-AICTE-1-44638627247","CORE-AICTE-1-44638627247","CORE-AICTE-1-44638627247","AICTE Institution 1-44638627247","MISSING","MISSING","CORE-AICTE-1-44638627247","NONE","SAFE","None"
