id,name,source_family,source_id_type,public_visible,search_visible,has_seats,has_cutoffs,has_fees,has_placements,truth_density_score,recommended_surface,reason
"CORE-AICTE-1-44637260101","AICTE Institution 1-44637260101","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44638089876","AICTE Institution 1-44638089876","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44638180495","AICTE Institution 1-44638180495","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44638230051","AICTE Institution 1-44638230051","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44638339730","AICTE Institution 1-44638339730","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44638343530","AICTE Institution 1-44638343530","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44638417896","AICTE Institution 1-44638417896","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44638506195","AICTE Institution 1-44638506195","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44638573601","AICTE Institution 1-44638573601","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44638627247","AICTE Institution 1-44638627247","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44638734913","AICTE Institution 1-44638734913","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44638803128","AICTE Institution 1-44638803128","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44638827801","AICTE Institution 1-44638827801","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44638835077","AICTE Institution 1-44638835077","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44638932600","AICTE Institution 1-44638932600","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44639546931","AICTE Institution 1-44639546931","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44639563433","AICTE Institution 1-44639563433","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
"CORE-AICTE-1-44639658589","AICTE Institution 1-44639658589","AICTE","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth"
