id,name,source_family,has_seats,has_cutoffs,has_fees,has_placements,has_provenance,truth_density_score,recommendation,reason,blocker_or_review_flag
"CORE-CORE-IIIT-PRADESH","CORE IIIT PRADESH","IIIT","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-MANIPAL-INSTITUTE-OF-TECHNOLOGY-MANIPAL","Manipal Institute of Technology, Manipal","OTHER","","true","true","true","","75","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-NATIONAL-INSTITUTE-OF-FOOD-TECHNOLOGY-ENTREPRENEURSHIP-AND-MANAGEMENT-THANJAVUR","NATIONAL INSTITUTE OF FOOD TECHNOLOGY, ENTREPRENEURSHIP AND MANAGEMENT -THANJAVUR","OTHER","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44637260101","AICTE Institution 1-44637260101","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44638089876","AICTE Institution 1-44638089876","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44638180495","AICTE Institution 1-44638180495","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44638230051","AICTE Institution 1-44638230051","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44638339730","AICTE Institution 1-44638339730","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44638343530","AICTE Institution 1-44638343530","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44638417896","AICTE Institution 1-44638417896","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44638506195","AICTE Institution 1-44638506195","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44638573601","AICTE Institution 1-44638573601","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44638627247","AICTE Institution 1-44638627247","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44638734913","AICTE Institution 1-44638734913","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44638803128","AICTE Institution 1-44638803128","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44638827801","AICTE Institution 1-44638827801","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44638835077","AICTE Institution 1-44638835077","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44638932600","AICTE Institution 1-44638932600","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44639546931","AICTE Institution 1-44639546931","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44639563433","AICTE Institution 1-44639563433","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44639658589","AICTE Institution 1-44639658589","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44639754848","AICTE Institution 1-44639754848","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44639772141","AICTE Institution 1-44639772141","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44639864156","AICTE Institution 1-44639864156","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44639945530","AICTE Institution 1-44639945530","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44640046939","AICTE Institution 1-44640046939","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44640191315","AICTE Institution 1-44640191315","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44640195682","AICTE Institution 1-44640195682","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44640234814","AICTE Institution 1-44640234814","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44640290488","AICTE Institution 1-44640290488","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44640371659","AICTE Institution 1-44640371659","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44640415205","AICTE Institution 1-44640415205","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44640419040","AICTE Institution 1-44640419040","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44640586918","AICTE Institution 1-44640586918","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44640825251","AICTE Institution 1-44640825251","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44640884023","AICTE Institution 1-44640884023","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44640936781","AICTE Institution 1-44640936781","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44641284570","AICTE Institution 1-44641284570","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44641394123","AICTE Institution 1-44641394123","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44641549024","AICTE Institution 1-44641549024","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44641659758","AICTE Institution 1-44641659758","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44641676837","AICTE Institution 1-44641676837","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44641678195","AICTE Institution 1-44641678195","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44641745478","AICTE Institution 1-44641745478","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44641771420","AICTE Institution 1-44641771420","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44641806108","AICTE Institution 1-44641806108","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44641832195","AICTE Institution 1-44641832195","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44641852157","AICTE Institution 1-44641852157","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44641914888","AICTE Institution 1-44641914888","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44641925723","AICTE Institution 1-44641925723","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44641952602","AICTE Institution 1-44641952602","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44642237208","AICTE Institution 1-44642237208","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44642250885","AICTE Institution 1-44642250885","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
"CORE-AICTE-1-44642276487","AICTE Institution 1-44642276487","AICTE","","","true","","","25","MOVE_TO_SEARCH_ONLY","Catalog placeholder with no admission-critical truth","SAFE_MOVE"
