id,name,source_family,source_id_type,public_visible,search_visible,has_seats,has_cutoffs,has_fees,has_placements,truth_density_score,recommended_surface,reason
"CORE-CORE-IIIT-PRADESH","CORE IIIT PRADESH","OTHER","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Insufficient truth for public cohort"
"CORE-GHANI-KHAN-CHOUDHARY-INSTITUTE-OF-ENGINEERING-AND-TECHNOLOGY-MALDA-WEST-BENGAL","Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal","OTHER","CORE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","75","KEEP_PUBLIC_CERTIFIED","Verified truth available"
"CORE-MANIPAL-INSTITUTE-OF-TECHNOLOGY-MANIPAL","Manipal Institute of Technology, Manipal","OTHER","CORE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","75","KEEP_PUBLIC_CERTIFIED","Verified truth available"
"CORE-NATIONAL-INSTITUTE-OF-FOOD-TECHNOLOGY-ENTREPRENEURSHIP-AND-MANAGEMENT-THANJAVUR","NATIONAL INSTITUTE OF FOOD TECHNOLOGY, ENTREPRENEURSHIP AND MANAGEMENT -THANJAVUR","OTHER","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Insufficient truth for public cohort"
"CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-MESRA-RANCHI","Birla Institute of Technology, Mesra, Ranchi","OTHER","CORE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","100","KEEP_PUBLIC_CERTIFIED","Verified truth available"
"CORE-IIIT-CHITTOOR","CORE IIIT CHITTOOR","OTHER","CORE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","75","KEEP_PUBLIC_CERTIFIED","Verified truth available"
"CORE-IIIT-GUWAHATI","CORE IIIT GUWAHATI","OTHER","CORE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","75","KEEP_PUBLIC_CERTIFIED","Verified truth available"
"CORE-IIIT-KARNATAKA","CORE IIIT KARNATAKA","OTHER","CORE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","50","KEEP_PUBLIC_CERTIFIED","Verified truth available"
"CORE-IIIT-MANIPUR","CORE IIIT MANIPUR","OTHER","CORE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","75","KEEP_PUBLIC_CERTIFIED","Verified truth available"
"CORE-IIIT-RAJASTHAN","CORE IIIT RAJASTHAN","OTHER","CORE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","50","KEEP_PUBLIC_CERTIFIED","Verified truth available"
