id,name,score
"CORE-CORE-IIIT-PRADESH","CORE IIIT PRADESH","25"
"CORE-GHANI-KHAN-CHOUDHARY-INSTITUTE-OF-ENGINEERING-AND-TECHNOLOGY-MALDA-WEST-BENGAL","Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal","75"
"CORE-MANIPAL-INSTITUTE-OF-TECHNOLOGY-MANIPAL","Manipal Institute of Technology, Manipal","75"
"CORE-NATIONAL-INSTITUTE-OF-FOOD-TECHNOLOGY-ENTREPRENEURSHIP-AND-MANAGEMENT-THANJAVUR","NATIONAL INSTITUTE OF FOOD TECHNOLOGY, ENTREPRENEURSHIP AND MANAGEMENT -THANJAVUR","25"
"CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-MESRA-RANCHI","Birla Institute of Technology, Mesra, Ranchi","100"
"CORE-IIIT-CHITTOOR","CORE IIIT CHITTOOR","75"
"CORE-IIIT-GUWAHATI","CORE IIIT GUWAHATI","75"
"CORE-IIIT-KARNATAKA","CORE IIIT KARNATAKA","50"
"CORE-IIIT-MANIPUR","CORE IIIT MANIPUR","75"
"CORE-IIIT-RAJASTHAN","CORE IIIT RAJASTHAN","50"
"CORE-IIIT-TIRUCHIRAPPALLI","CORE IIIT TIRUCHIRAPPALLI","75"
"CORE-INSTITUTE-OF-INFRASTRUCTURE-TECHNOLOGY-RESEARCH-AND-MANAGEMENT-AHMEDABAD","Institute of Infrastructure, Technology, Research and Management-Ahmedabad","75"
"CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-BHUBANESWAR","International Institute of Information Technology, Bhubaneswar","75"
"CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-NAYA-RAIPUR","International Institute of Information Technology, Naya Raipur","75"
"CORE-AICTE-1-44637260101","AICTE Institution 1-44637260101","25"
"CORE-AICTE-1-44638089876","AICTE Institution 1-44638089876","25"
"CORE-AICTE-1-44638180495","AICTE Institution 1-44638180495","25"
"CORE-AICTE-1-44638230051","AICTE Institution 1-44638230051","25"
"CORE-AICTE-1-44638339730","AICTE Institution 1-44638339730","25"
"CORE-AICTE-1-44638343530","AICTE Institution 1-44638343530","25"
"CORE-AICTE-1-44638417896","AICTE Institution 1-44638417896","25"
"CORE-AICTE-1-44638506195","AICTE Institution 1-44638506195","25"
"CORE-AICTE-1-44638573601","AICTE Institution 1-44638573601","25"
"CORE-AICTE-1-44638627247","AICTE Institution 1-44638627247","25"
"CORE-AICTE-1-44638734913","AICTE Institution 1-44638734913","25"
"CORE-AICTE-1-44638803128","AICTE Institution 1-44638803128","25"
"CORE-AICTE-1-44638827801","AICTE Institution 1-44638827801","25"
"CORE-AICTE-1-44638835077","AICTE Institution 1-44638835077","25"
"CORE-AICTE-1-44638932600","AICTE Institution 1-44638932600","25"
"CORE-AICTE-1-44639546931","AICTE Institution 1-44639546931","25"
"CORE-AICTE-1-44639563433","AICTE Institution 1-44639563433","25"
"CORE-AICTE-1-44639658589","AICTE Institution 1-44639658589","25"
"CORE-AICTE-1-44639754848","AICTE Institution 1-44639754848","25"
"CORE-AICTE-1-44639772141","AICTE Institution 1-44639772141","25"
"CORE-AICTE-1-44639864156","AICTE Institution 1-44639864156","25"
"CORE-AICTE-1-44639945530","AICTE Institution 1-44639945530","25"
"CORE-AICTE-1-44640046939","AICTE Institution 1-44640046939","25"
"CORE-AICTE-1-44640191315","AICTE Institution 1-44640191315","25"
"CORE-AICTE-1-44640195682","AICTE Institution 1-44640195682","25"
"CORE-AICTE-1-44640234814","AICTE Institution 1-44640234814","25"
"CORE-AICTE-1-44640290488","AICTE Institution 1-44640290488","25"
"CORE-AICTE-1-44640371659","AICTE Institution 1-44640371659","25"
"CORE-AICTE-1-44640415205","AICTE Institution 1-44640415205","25"
"CORE-AICTE-1-44640419040","AICTE Institution 1-44640419040","25"
"CORE-AICTE-1-44640586918","AICTE Institution 1-44640586918","25"
"CORE-AICTE-1-44640825251","AICTE Institution 1-44640825251","25"
"CORE-AICTE-1-44640884023","AICTE Institution 1-44640884023","25"
"CORE-AICTE-1-44640936781","AICTE Institution 1-44640936781","25"
"CORE-AICTE-1-44641284570","AICTE Institution 1-44641284570","25"
"CORE-AICTE-1-44641394123","AICTE Institution 1-44641394123","25"
"CORE-AICTE-1-44641549024","AICTE Institution 1-44641549024","25"
"CORE-AICTE-1-44641659758","AICTE Institution 1-44641659758","25"
"CORE-AICTE-1-44641676837","AICTE Institution 1-44641676837","25"
"CORE-AICTE-1-44641678195","AICTE Institution 1-44641678195","25"
"CORE-AICTE-1-44641745478","AICTE Institution 1-44641745478","25"
"CORE-AICTE-1-44641771420","AICTE Institution 1-44641771420","25"
"CORE-AICTE-1-44641806108","AICTE Institution 1-44641806108","25"
"CORE-AICTE-1-44641832195","AICTE Institution 1-44641832195","25"
"CORE-AICTE-1-44641852157","AICTE Institution 1-44641852157","25"
"CORE-AICTE-1-44641914888","AICTE Institution 1-44641914888","25"
"CORE-AICTE-1-44641925723","AICTE Institution 1-44641925723","25"
"CORE-AICTE-1-44641952602","AICTE Institution 1-44641952602","25"
"CORE-AICTE-1-44642237208","AICTE Institution 1-44642237208","25"
"CORE-AICTE-1-44642250885","AICTE Institution 1-44642250885","25"
"CORE-AICTE-1-44642276487","AICTE Institution 1-44642276487","25"
"CORE-AICTE-1-44642295707","AICTE Institution 1-44642295707","25"
"CORE-AICTE-1-44642302285","AICTE Institution 1-44642302285","25"
"CORE-AICTE-1-44642355580","AICTE Institution 1-44642355580","25"
"CORE-AICTE-1-44642356386","AICTE Institution 1-44642356386","25"
"CORE-AICTE-1-44642485642","AICTE Institution 1-44642485642","25"
"CORE-AICTE-1-44642502034","AICTE Institution 1-44642502034","25"
"CORE-AICTE-1-44642659248","AICTE Institution 1-44642659248","25"
"CORE-AICTE-1-44642712421","AICTE Institution 1-44642712421","25"
"CORE-AICTE-1-44642826943","AICTE Institution 1-44642826943","25"
"CORE-AICTE-1-44642874041","AICTE Institution 1-44642874041","25"
"CORE-AICTE-1-44642961216","AICTE Institution 1-44642961216","25"
"CORE-AICTE-1-44642964305","AICTE Institution 1-44642964305","25"
"CORE-AICTE-1-44642965002","AICTE Institution 1-44642965002","25"
"CORE-AICTE-1-44642967201","AICTE Institution 1-44642967201","25"
"CORE-AICTE-1-44643122522","AICTE Institution 1-44643122522","25"
"CORE-AICTE-1-44643164961","AICTE Institution 1-44643164961","25"
"CORE-AICTE-1-44643230639","AICTE Institution 1-44643230639","25"
"CORE-AICTE-1-44643311346","AICTE Institution 1-44643311346","25"
"CORE-AICTE-1-44643337669","AICTE Institution 1-44643337669","25"
"CORE-AICTE-1-44643357539","AICTE Institution 1-44643357539","25"
"CORE-AICTE-1-44643427751","AICTE Institution 1-44643427751","25"
"CORE-AICTE-1-44643459460","AICTE Institution 1-44643459460","25"
"CORE-AICTE-1-44643462613","AICTE Institution 1-44643462613","25"
"CORE-AICTE-1-44643467113","AICTE Institution 1-44643467113","25"
"CORE-AICTE-1-44643471242","AICTE Institution 1-44643471242","25"
"CORE-AICTE-1-44643656305","AICTE Institution 1-44643656305","25"
"CORE-AICTE-1-44643681436","AICTE Institution 1-44643681436","25"
"CORE-AICTE-1-44643745827","AICTE Institution 1-44643745827","25"
"CORE-AICTE-1-44643864170","AICTE Institution 1-44643864170","25"
"CORE-ASSAM-UNIVERSITY-SILCHAR","Assam University, Silchar","75"
"CORE-IIIT-GWALIOR","Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior","75"
"CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-DEOGHAR","Birla Institute of Technology, Deoghar Off-Campus","75"
"CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-PATNA","Birla Institute of Technology, Patna Off-Campus","75"
"CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-RANCHI","Birla Institute of Technology, Ranchi","25"
"CORE-CENTRAL-UNIVERSITY-OF-HARYANA","Central University of Haryana","75"
"CORE-CENTRAL-UNIVERSITY-OF-JAMMU","Central University of Jammu","75"
"CORE-DR-B-R-AMBEDKAR-NATIONAL-INSTITUTE-OF-TECHNOLOGY-JALANDHAR","Dr. B. R. Ambedkar National Institute of Technology, Jalandhar","25"
"CORE-GATI-SHAKTI-VISHWAVIDYALAYA-VADODARA","Gati Shakti Vishwavidyalaya, Vadodara","75"
"CORE-GHANI-KHAN-CHOUDHURY-INSTITUTE-OF-ENGINEERING-TECHNOLOGY-KOTWALI-MALDA","GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, KOTWALI, MALDA","25"
"CORE-GURUKULA-KANGRI-VISHWAVIDYALAYA-HARIDWAR","Gurukula Kangri Vishwavidyalaya, Haridwar","75"
"CORE-INDIAN-INSTITUTE-OF-CARPET-TECHNOLOGY-BHADOHI","INDIAN INSTITUTE OF CARPET TECHNOLOGY, BHADOHI","25"
"CORE-INDIAN-INSTITUTE-OF-HANDLOOM-TECHNOLOGY-SALEM","INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY, SALEM","25"
"CORE-IIIT-TECHNOLOGY","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY","25"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-BHAGALPUR","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR","25"
"CORE-IIIT-RAICHUR","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RAICHUR","75"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-SURAT","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SURAT","25"
"CORE-IIIT-VADODARA","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY VADODARA INTERNATIONAL CAMPUS DIU","75"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-GUWAHATI","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, GUWAHATI","25"
"CORE-IIIT-KALYANI","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KALYANI","75"
"CORE-IIIT-AGARTALA","Indian Institute of Information Technology Agartala","75"
"CORE-IIIT-KURNOOL","Indian Institute of Information Technology Design And Manufacturing, Kurnool","25"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-ALLAHABAD","Indian Institute of Information Technology, Allahabad","50"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-DESIGN-MANUFACTURING-KANCHEEPURAM","Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","25"
"CORE-IIIT-DHARWAD","Indian Institute of Information Technology, Dharwad","25"
"CORE-IIIT-KOTA","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTA","75"
"CORE-IIIT-KOTTAYAM","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTTAYAM","75"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-LUCKNOW","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, LUCKNOW","25"
"CORE-IIIT-NAGPUR","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, NAGPUR","75"
"CORE-IIIT-PUNE","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, PUNE","75"
"CORE-IIIT-RANCHI","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, RANCHI","75"
"CORE-IIIT-SENAPATI","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SENAPATI","25"
"CORE-IIIT-CITY","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SRI CITY","25"
"CORE-IIIT-SRIRANGAM","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SRIRANGAM","25"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-UNA","Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","25"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-VADODARA","Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","25"
"CORE-IIT-VARANASI","Indian Institute of Technology (Banaras Hindu University), Varanasi","100"
"CORE-IIT-DHANBAD","Indian Institute of Technology (Indian School of Mines), Dhanbad","75"
"CORE-IIT-BHILAI","Indian Institute of Technology Bhilai","75"
"CORE-IIT-BOMBAY","Indian Institute of Technology Bombay","100"
"CORE-IIT-DELHI","Indian Institute of Technology Delhi","100"
"CORE-IIT-GUWAHATI","Indian Institute of Technology Guwahati","100"
"CORE-IIT-HYDERABAD","Indian Institute of Technology Hyderabad","100"
"CORE-IIT-JAMMU","Indian Institute of Technology Jammu","75"
"CORE-IIT-KANPUR","Indian Institute of Technology Kanpur","100"
"CORE-IIT-KHARAGPUR","Indian Institute of Technology Kharagpur","100"
"CORE-IIT-MADRAS","Indian Institute of Technology Madras","100"
"CORE-IIT-ROORKEE","Indian Institute of Technology Roorkee","100"
"CORE-IIT-BHUBANESHWAR","Indian Institute of Technology, Bhubaneshwar","25"
"CORE-IIT-DHARWAD","Indian Institute of Technology, Dharwad","75"
"CORE-IIT-GANDHINAGAR","Indian Institute of Technology, Gandhinagar","75"
"CORE-IIT-GOA","Indian Institute of Technology, Goa","75"
"CORE-IIT-INDORE","Indian Institute of Technology, Indore","100"
"CORE-IIT-JODHPUR","Indian Institute of Technology, Jodhpur","75"
"CORE-IIT-MANDI","Indian Institute of Technology, Mandi","100"
"CORE-IIT-PALAKKAD","Indian Institute of Technology, Palakkad","75"
"CORE-IIT-PATNA","Indian Institute of Technology, Patna","100"
"CORE-IIT-ROPAR","Indian Institute of Technology, Ropar","100"
"CORE-IIT-TIRUPATI","Indian Institute of Technology, Tirupati","75"
"CORE-INSTITUTE-OF-ENGINEERING-AND-TECHNOLOGY-DR-H-S-GOUR-UNIVERSITY-SAGAR","Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)","75"
