id,name,category,identity_verified,website_verified,fees_verified,placements_verified,seats_verified,cutoffs_verified,rankings_verified,primary_source_fees,primary_source_placements,primary_source_seats,fees_status,placements_status,seats_status
"U-1092","ALL INDIA INSTITUTE OF MEDICAL SCIENCES (AIIMS), RAEBARELI","Legacy Core","true","true","true","","","","true","AIIMS Delhi Fee Structure 2024-25","NIRF 2024","None","official_verified","legacy","legacy"
"U-1304","ALL INDIA INSTITUTE OF MEDICAL SCIENCES MADURAI","Legacy Core","true","true","true","","","","true","AIIMS Delhi Fee Structure 2024-25","NIRF 2024","None","official_verified","legacy","legacy"
"U-1051","ALL INDIA INSTITUTE OF MEDICAL SCIENCES NAGPUR","Legacy Core","true","true","true","","","","true","AIIMS Nagpur Fee Structure 2024-25","NIRF 2024","None","official_verified","legacy","legacy"
"U-0687","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHOPAL","Legacy Core","true","true","true","","","","true","AIIMS Bhopal Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0688","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHUBANESWAR","Legacy Core","true","true","true","","","","true","AIIMS Bhubaneswar Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-1107","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, GUWAHATI","Legacy Core","true","true","true","","","","true","AIIMS Delhi Fee Structure 2024-25","NIRF 2024","None","official_verified","legacy","legacy"
"U-0689","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, JODHPUR","Legacy Core","true","true","true","","","","true","AIIMS Jodhpur Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0961","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, MANGALAGIRI","Legacy Core","true","true","true","","","","true","AIIMS Delhi Fee Structure 2024-25","NIRF 2024","None","official_verified","legacy","legacy"
"U-0686","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, PATNA","Legacy Core","true","true","true","","","","true","AIIMS Patna Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0690","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR","Legacy Core","true","true","true","","","","true","AIIMS Raipur Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-1191","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAJKOT","Legacy Core","true","true","true","","","","true","AIIMS Delhi Fee Structure 2024-25","NIRF 2024","None","official_verified","legacy","legacy"
"U-0691","ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH","Legacy Core","true","true","true","","","","true","AIIMS Rishikesh Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"S-21765","APEEJAY INSTITUTE OF DESIGN","private/state","true","","","","","","","Fee Regulation Slab — Delhi (2024-25)","None","None","legacy","unavailable","unavailable"
"S-20819","APEEJAY INSTITUTE OF MASS COMMUNICATION","private/state","true","","","","","","","Fee Regulation Slab — Delhi (2024-25)","None","None","legacy","unavailable","unavailable"
"C-46789","APEEJAY INSTITUTE OF TECHNOLOGY SCHOOL OF ARCHITECTURE AND PLANNING, GREATERÂ NOIDA","Legacy Core","true","true","true","","","","true","AFRC UP 2024-25 Official Order","None","None","official_verified","unavailable","unavailable"
"S-757","APEEJAY SCHOOL OF MANAGEMENT","private/state","true","","","","","","","Fee Regulation Slab — Delhi (2024-25)","None","None","legacy","unavailable","unavailable"
"CORE-ALLINDIAINSTITUTEOFMEDICALSCIENCESDELHI","All India Institute of Medical Sciences Delhi","AIIMS","true","true","true","","","","true","AIIMS Delhi Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"CORE-ALLINDIAINSTITUTEOFMEDICALSCIENCESGORAKHPUR","All India Institute of Medical Sciences Gorakhpur","AIIMS","true","","","","","","","None","None","None","unavailable","unavailable","unavailable"
"U-0096","All India Institute of Medical Sciences, New Delhi","AIIMS","true","true","true","","","","true","AIIMS Delhi Fee Structure 2024-25","None","None","official_verified","unavailable","legacy"
"U-0156","Apeejay  Stya University, Sohna","Legacy Core","true","true","","","","","","Fee Regulation Slab — Haryana (2024-25)","None","None","legacy","unavailable","unavailable"
"C-33700","Apeejay Education Trust, Apeejay Institute Of Hospitality, Plot No 1, Sector-10, CBD Belapur, Navi-Mumbai - 400 614","private/state","true","true","","","","","","Fee Regulation Slab — Maharashtra (2024-25)","None","None","legacy","unavailable","unavailable"
"C-10383","Apeejay Institute of Management & Engineering Technical Campus, Jalandhar","Legacy Core","true","true","true","","","","true","TNEA 2024 Official Notification","None","None","official_verified","unavailable","unavailable"
"C-28269","Apeejay Saraswati College for Girls","private/state","true","true","","","","","","Fee Regulation Slab — Haryana (2024-25)","None","None","legacy","unavailable","unavailable"
"U-0267","Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior","IIIT","true","true","true","","","","true","AFRC MP 2024-25 Order No. 147","NIRF 2024","None","official_verified","legacy","unavailable"
"C-55231","BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE PILANI,HYDERABAD CAMPUS","Legacy Core","true","true","true","","","","true","BITS Hyderabad Fee Structure 2024-25","None","None","official_verified","unavailable","unavailable"
