cei_id,institution_name,category,state,district,university_affiliation,source_year,verification_status,aishe_code,naac_grade,established_year,removal_reason
CEI-IN-8DF558BFE6F3,C.U. Shah University,College,Gujarat,Surendranagar,,2020-21,VERIFIED,c-u-shah-uni,,,NOT_IN_OFFICIAL_AISHE_EXCEL
CEI-IN-B0DA34F5295A,S. Kula Women's College,College,Manipur,Bishnupur,Manipur University,2020-21,VERIFIED,s-kula-womens-college,A,1981,NOT_IN_OFFICIAL_AISHE_EXCEL
CEI-IN-849F38016606,C-Edge College,College,Nagaland,Niuland,Nagaland University,2020-21,VERIFIED,c-edge-college,B,2012,NOT_IN_OFFICIAL_AISHE_EXCEL
CEI-IN-0072A6420B93,S N S College of Engineering,College,Tamil Nadu,Coimbatore,,2020-21,VERIFIED,s-n-s-college-of-engineering-coimbatore,,,NOT_IN_OFFICIAL_AISHE_EXCEL
CEI-IN-5D1D5D16AE03,S N S College of Technology,College,Tamil Nadu,Coimbatore,,2020-21,VERIFIED,s-n-s-college-of-technology-coimbatore,,,NOT_IN_OFFICIAL_AISHE_EXCEL
CEI-IN-B0A39C49679F,S A Engineering College,College,Tamil Nadu,Chennai,,2020-21,VERIFIED,s-a-engineering-college-thiruverkadu,,,NOT_IN_OFFICIAL_AISHE_EXCEL
CEI-IN-E396549E0157,C M S College of Engineering,College,Tamil Nadu,Coimbatore,,2020-21,VERIFIED,c-m-s-college-of-engineering-coimbatore,,,NOT_IN_OFFICIAL_AISHE_EXCEL
CEI-IN-0A76367F82CE,S R M University,College,Tamil Nadu,Tiruchirappalli,,2020-21,VERIFIED,s-r-m-university-tiruchirappalli,,,NOT_IN_OFFICIAL_AISHE_EXCEL
CEI-IN-FF5BB95FDD20,C A R E Group of Institutions,College,Tamil Nadu,Tiruchirappalli,,2020-21,VERIFIED,c-a-r-e-group-of-institutions-tiruchirappalli,,,NOT_IN_OFFICIAL_AISHE_EXCEL
CEI-IN-70F543379CFB,S V S College of Engineering,College,Tamil Nadu,Coimbatore,,2020-21,VERIFIED,s-v-s-college-of-engineering-coimbatore,,,NOT_IN_OFFICIAL_AISHE_EXCEL
CEI-IN-1D9F60CE859A,C K College of Engineering and Technology,College,Tamil Nadu,Cuddalore,,2020-21,VERIFIED,c-k-college-of-engineering-and-cuddalore,,,NOT_IN_OFFICIAL_AISHE_EXCEL
