aishe_code,institution_name,category,state,district,university_affiliation,source_year,verification_status,is_premium,naac_grade,established_year,cei_id,removal_reason
government-polytechnic-diglipur,"Government Polytechnic, Diglipur",College,Andaman and Nicobar Islands,North and Middle Andaman,AICTE,2020-21,UNVERIFIED,True,NA,2017,CEI-IN-598A6CA565C7,INVALID_AISHE_FORMAT
dbrait-port-blair,Dr. B.R. Ambedkar Institute of Technology,College,Andaman and Nicobar Islands,South Andaman,Pondicherry University,2020-21,UNVERIFIED,True,NA,1984,CEI-IN-3261E52750DF,INVALID_AISHE_FORMAT
andaman-college-ancol,Andaman College,College,Andaman and Nicobar Islands,South Andaman,Pondicherry University,2020-21,UNVERIFIED,True,NA,2014,CEI-IN-CD93DB5CFFE0,INVALID_AISHE_FORMAT
mahatma-gandhi-govt-college-mayabunder,Mahatma Gandhi Government College,College,Andaman and Nicobar Islands,North and Middle Andaman,Pondicherry University,2020-21,UNVERIFIED,True,B,1990,CEI-IN-A7D9C919A0E0,INVALID_AISHE_FORMAT
jnrm-port-blair,Jawaharlal Nehru Rajkeeya Mahavidyalaya,College,Andaman and Nicobar Islands,South Andaman,Pondicherry University,2020-21,UNVERIFIED,True,A,1967,CEI-IN-6ACD27490DBE,INVALID_AISHE_FORMAT
aniims-port-blair,Andaman and Nicobar Islands Institute of Medical Sciences,College,Andaman and Nicobar Islands,South Andaman,Pondicherry University,2020-21,UNVERIFIED,True,NA,2015,CEI-IN-EFC199342504,INVALID_AISHE_FORMAT
andaman-law-college,Andaman Law College,College,Andaman and Nicobar Islands,South Andaman,Pondicherry University,2020-21,UNVERIFIED,True,NA,2016,CEI-IN-B6366EF681FA,INVALID_AISHE_FORMAT
tagore-govt-college-of-education,Tagore Government College of Education,College,Andaman and Nicobar Islands,South Andaman,Pondicherry University,2020-21,UNVERIFIED,True,NA,1981,CEI-IN-52D6353B66CB,INVALID_AISHE_FORMAT
vishnu-institute-bhimavaram,Vishnu Institute of Technology,College,Andhra Pradesh,West Godavari,JNTU Kakinada,2020-21,UNVERIFIED,True,A++,,CEI-IN-39FE179CD538,INVALID_AISHE_FORMAT
rgukt-nuzvid,Rajiv Gandhi University of Knowledge Technologies (Nuzvid),College,Andhra Pradesh,Krishna,,2020-21,UNVERIFIED,True,,,CEI-IN-A6876E7DA16E,INVALID_AISHE_FORMAT
iiit-sricity,Indian Institute of Information Technology Sri City,College,Andhra Pradesh,Tirupati,,2020-21,UNVERIFIED,True,,2013,CEI-IN-AAC891AFEF71,INVALID_AISHE_FORMAT
kl-university-guntur,K L Deemed to be University,College,Andhra Pradesh,Guntur,,2020-21,UNVERIFIED,True,A++,1980,CEI-IN-CE99B626E8BD,INVALID_AISHE_FORMAT
rvr-jc-guntur,R.V.R. & J.C. College of Engineering,College,Andhra Pradesh,Guntur,Acharya Nagarjuna University,2020-21,UNVERIFIED,True,A+,,CEI-IN-8B6B362808BC,INVALID_AISHE_FORMAT
vit-ap,VIT-AP University,College,Andhra Pradesh,Guntur,,2020-21,UNVERIFIED,True,,2017,CEI-IN-2946615AA14D,INVALID_AISHE_FORMAT
vr-siddhartha-vijayawada,Velagapudi Ramakrishna Siddhartha Engineering College,College,Andhra Pradesh,Krishna,JNTU Kakinada,2020-21,UNVERIFIED,True,A+,,CEI-IN-649CD6C0084E,INVALID_AISHE_FORMAT
rgukt-rkvalley,Rajiv Gandhi University of Knowledge Technologies (RK Valley),College,Andhra Pradesh,Kadapa,,2020-21,UNVERIFIED,True,,,CEI-IN-3EE02CB32758,INVALID_AISHE_FORMAT
sagi-ramakrishnam-raju-enginee-bhimavaram,Sagi Ramakrishnam Raju Engineering College,College,Andhra Pradesh,Bhimavaram,,2020-21,UNVERIFIED,True,,,CEI-IN-782458CD052F,INVALID_AISHE_FORMAT
gmr-institute-of-technology-rajam,GMR Institute of Technology,College,Andhra Pradesh,Rajam,,2020-21,UNVERIFIED,True,,,CEI-IN-93B4C8D13294,INVALID_AISHE_FORMAT
nit-andhra-pradesh,National Institute of Technology Andhra Pradesh,College,Andhra Pradesh,West Godavari,,2020-21,UNVERIFIED,True,,2015,CEI-IN-675CAF7BD673,INVALID_AISHE_FORMAT
vignan-university-guntur,"Vignan's Foundation for Science, Technology and Research",College,Andhra Pradesh,Guntur,,2020-21,UNVERIFIED,True,A+,,CEI-IN-32D7C52BC1A9,INVALID_AISHE_FORMAT
sree-vidyanikethan,Sree Vidyanikethan Engineering College,College,Andhra Pradesh,Tirupati,Mohan Babu University,2020-21,UNVERIFIED,True,A+,,CEI-IN-F6FFA2B29185,INVALID_AISHE_FORMAT
svims-tirupati,Sri Venkateswara Institute of Medical Sciences,College,Andhra Pradesh,Tirupati,,2020-21,UNVERIFIED,True,,1993,CEI-IN-E42D3366B6DF,INVALID_AISHE_FORMAT
