cei_id,institution_name,category,state,district,university_affiliation,aishe_code,F_zscore,I_zscore,S_zscore,D_zscore,U_zscore,raw_composite,cei_score,competitiveness_band,verification_status
CEI-IN-E9303A985592,"Abhinav Education Society College of Engineering  & Technology, Vaddwadi,",College,Maharashtra,Satara,,C-11223,-0.33081910499065814,-0.6398881795128396,-0.4605045846983685,-0.3939195185015038,-0.7748855220580299,-1.6209479597841097,17.860949899324886,Emerging,VERIFIED
CEI-IN-324951CA8082,Directorate of Forensic Science (DFS),College,Gujarat,Gandhinagar,,C-13,-0.3844654463404946,0.3069579786849067,0.675488270657479,0.363239092301362,-1.0687119144185844,4.7534118019942975,61.58750838959296,Moderate,VERIFIED
CEI-IN-4456D7898186,"BHM First Grade College, Besagarahalli",College,Karnataka,Mandya,,C-17436,0.5811686979565616,-0.29674730269854716,-0.954962338827376,0.6463871410162545,0.6405110352492283,3.771085101927712,54.552094437206364,Moderate,VERIFIED
CEI-IN-25198B9DEAD3,"Navjeevan College of Computer Science, CIDCO, Shivshakti Chowk, Nashik 422009",College,Maharashtra,Nashik,,C-41560,-0.3844654463404946,0.38228897959275576,0.16808937767221452,0.5506883904386494,-0.9274481916757009,3.9571324880639533,55.9398318133365,Moderate,VERIFIED
CEI-IN-16B0BF32D57A,"KALPANA MAHAVIDYALAYA, VIJAIPUR",College,Uttar Pradesh,Fatehpur,,C-48921,-0.545404470390004,-0.4792345315965061,-0.8895176537779726,-0.04000834775365353,-0.8452167698207281,-2.668896020487561,12.98116783133957,Emerging,VERIFIED
CEI-IN-F6CDD453A09A,"Champa Devi Mahila Mahavidyalay, Jaunpur",College,Uttar Pradesh,Jaunpur,,C-52410,-0.6526971530896769,0.4625026057020575,0.8642477545781564,0.3884418322597003,-0.11996878187632372,5.486311499632402,66.54032926684827,Competitive,VERIFIED
CEI-IN-D90F8D6EF12E,"BABA BIHARILAL EDUCATIONAL INSTITUTE, AMADARVESHPUR",College,Uttar Pradesh,Ambedkar Nagar,,C-52827,-0.3844654463404946,-0.5887977945986576,-1.4945466105736611,-0.42889253757450596,-1.2648888661114481,-4.8750967452900085,5.904299419637569,Emerging,VERIFIED
CEI-IN-36D6CE76735A,THAKUR SHIVKUMARSINGH MEMORIAL POLYTECHNIC COLLEGE BURHANPUR,College,Madhya Pradesh,Burhanpur,,C-53504,-0.6526971530896769,-0.3194731790709817,0.28960280913875786,-0.21093308962767357,1.4632874894443277,2.084425219285398,42.153263058154685,Moderate,VERIFIED
CEI-IN-4424A4E8DE75,AZAD D.ED. TRAINING COLLEGE,College,West Bengal,Dakshin Dinajpur,,C-58398,-0.7063434944395133,-0.0357935183115886,0.73654296244481,-0.5457436585621012,1.6351538832123138,3.583429364781111,53.168305104820554,Moderate,VERIFIED
CEI-IN-9AD113FC2AAE,JAJBA TEACHER TRAINING COLLEGE,College,Bihar,Gaya,,C-59170,-0.7063434944395133,-0.8026800516281227,-1.3064552700807492,0.1621938211855883,-0.08838395791198987,-4.455230266173869,6.940660902522799,Emerging,VERIFIED
CEI-IN-DCA9308DF978,JCRE Global College,College,Manipur,Imphal West,,C-61603,-0.8672825184890227,-0.01775466092768895,-0.012807390026366973,-0.754438861483774,0.14202137468806644,-0.36937423526263097,24.84109123929093,Emerging,VERIFIED
CEI-IN-62DC67DC37F1,Awasthi Law College,College,Himachal Pradesh,Solan,,C-63863,-0.8672825184890227,-0.08119318068745157,-0.417964294067007,0.6965955514631831,1.4245340879657398,1.2766833349489644,36.12854830431521,Moderate,VERIFIED
CEI-IN-3C96791C3AC5,CRYSTAL INSTITUTE OF FIRE SAFETY,College,Gujarat,Mahisagar,,C-66234,-0.9209288598388592,0.17473073215758253,-0.07933912764796724,0.25467024938582006,0.5926988285316753,1.5067520046493195,37.81238896126969,Moderate,VERIFIED
CEI-IN-AA7CA9DB928B,"GOVERNMENT BED COLLEGE, MEGHRAJ",College,Gujarat,Arvalli,,C-6695,-0.06258739824147593,-0.19857406970773586,-0.2747400745342839,-0.48694637797308027,0.7208525085579645,2.1002128375758877,42.248016108018476,Moderate,VERIFIED
CEI-IN-800E69921414,SHREE UMA GIRLS COLLEGE,College,Gujarat,Surendranagar,,C-68223,-0.9209288598388592,1.0164224642032842,1.3426924954690287,-0.13122464055612787,-1.648606439089207,5.543121771258166,66.95092581625805,Competitive,VERIFIED
CEI-IN-AF561AD9C6B5,"JPE TRAINING COLLEGE, KOORKANCHERY",College,Kerala,Thrissur,,C-8223,0.42022967390705246,-0.5077813153101723,-0.9718820681788752,-0.30994472031952125,0.54344523099868,1.180727044166091,35.42579651782542,Moderate,VERIFIED
CEI-IN-AD5403C0ECA4,North Lakhimpur College (Autonomous),College,Assam,Lakhimpur,,C-8490,2.7270223519500196,0.5329758485904224,1.3801822160190802,0.2585711860083956,-0.7891575483956933,18.569956558568855,97.96675747167278,High,VERIFIED
CEI-IN-9181AEE4CB75,"S P M S EDUCATION COLLEGE, HARUGERI",College,Karnataka,Belagavi,,C-10026,-0.22352642229098516,-0.30780148972353116,-0.30986442789498225,-0.08440529569656872,1.5309968236399893,2.265737147263562,43.44624738442102,Moderate,VERIFIED
CEI-IN-53AA2E7C68E6,"P T E SOCIETY'S BCA/BBA  COLLEGE,  BELGAUM",College,Karnataka,Belagavi,,C-10034,-0.27717276364082155,-0.4931236767454791,0.3849136206535279,0.5420058660777652,0.6664417025122462,3.6175815440221206,53.43479805756248,Moderate,VERIFIED
CEI-IN-3D4563120BE1,"Vishwabharati First Grade COLLEGE, TURNUR-591123",College,Karnataka,Belagavi,,C-10039,0.5811686979565616,0.20332908826776885,-0.47828935066238026,0.042704902780685755,-0.7718413567171084,4.6090845686344295,60.58470527853449,Moderate,VERIFIED
CEI-IN-88F37811E6C4,"M E S'S BACHELOR OF PHYSICAL EDUCATION, MUDALGI",College,Karnataka,Belagavi,,C-10042,-0.3844654463404946,-1.367447931496491,-1.9417612973593645,-0.3834312219150572,1.7154083761943266,-6.005133581900646,3.5769276323581662,Emerging,VERIFIED
CEI-IN-D8C3DFD13419,"B.D.P.H.W. Association Mathoshri Ambavva Khed Arts,Commerce & Science  College Bijapur.",College,Karnataka,Vijayapura,,C-10068,0.6884613806562346,0.5622118349568347,0.2779367717074172,0.1337001896662197,-0.7004245031215418,8.236370862307691,81.17177938331557,Competitive,VERIFIED
CEI-IN-9AC21D77A1A7,"MUNI. ARTS & COMMERCE COLLEGE, UPLETA",College,Gujarat,Rajkot,,C-1010,2.2442052798014918,0.7372908034670899,0.9470048529882873,-0.0876956090060473,-0.1969133244619229,16.221256834730347,96.87512337636701,High,VERIFIED
CEI-IN-656BAE1B519B,"Govt. First Grade College, Magadi-562102",College,Karnataka,Bengaluru South,,C-20759,1.0103394287552534,0.2209985705835717,0.5527803677651761,1.1621386211628855,0.4834516796259742,11.441050760937442,90.95897982549647,High,VERIFIED
CEI-IN-8980CE5659C4,"Govt. First Grade College, Bangarpet-563114, Kolar Dist.",College,Karnataka,Kolar,,C-20816,0.9566930874054169,0.10216554634338319,0.077381430649685,0.032176290794953766,-0.9200942760494141,7.047564070028419,75.6346480319002,Competitive,VERIFIED
CEI-IN-3C022CDA8A6A,"Om Insti. Of Eng.& Technology, Junagadh 665",College,Gujarat,Junagadh,,C-210,-0.33081910499065814,0.38760124575454274,-0.12490013430037385,-0.31712823033733395,-1.6027227154725276,1.6963192622632712,39.10734730940818,Moderate,VERIFIED
CEI-IN-3A8AEED2EA8B,Shri Baba Mast Nath Institute of Management Studies and Research,College,Haryana,Rohtak,,C-28324,-0.3844654463404946,0.047353766925778674,0.19170346693807325,-0.6089061041678226,-1.4737551921339052,1.0911423549184973,34.81582375932725,Moderate,VERIFIED
CEI-IN-A4E8494C1370,"R.K. COLLEGE, GARH ROAD, KITHORE, MEERUT",College,Uttar Pradesh,Meerut,,C-28947,-0.43811178769033104,0.7676059563175899,0.9912765356501974,-0.20909848565891834,-0.23211477383756737,6.580552150057758,73.2223933041178,Competitive,VERIFIED
CEI-IN-45DFDF8A2B6E,Jawaharlal Nehru Medical College,College,Maharashtra,Wardha,,C-35088,-0.3844654463404946,-0.14290776465629176,-0.42221281726716775,0.17734959439544246,0.6002113711504491,1.5082431380791195,37.83015515811915,Moderate,VERIFIED
CEI-IN-C6F66ABA3D32,Dr. M.G.R. Engineering and College,College,Tamil Nadu,Thiruvallur,,C-36462,-0.3844654463404946,-0.9125520031386289,-0.4882001916255743,0.017515252117051076,0.836853035151196,-0.9017039664385078,21.668838090726044,Emerging,VERIFIED
CEI-IN-BF0218761E8E,Malda College,College,West Bengal,Malda,,C-42700,3.156193082748711,-1.404904969412258,-1.74324206306569,0.47117175828212565,0.7393205786156475,7.592134672435667,78.29760353744719,Competitive,VERIFIED
CEI-IN-1AA0C65A5118,"IDEAL SCHOOL OF ARCHITECTURE, GHAZIABAD",College,Uttar Pradesh,Ghaziabad,,C-46150,-0.3844654463404946,0.9937394207482553,2.4714984858648124,-0.20094403507864317,-0.3795540042668462,11.315187703585439,90.67274665403293,High,VERIFIED
CEI-IN-184E9AA54FE3,"FACULTY OF MANAGEMENT AND TECHNOLOGY, VARANASI",College,Uttar Pradesh,Varanasi,,C-47031,0.04470528445819717,-1.0393694416023544,-2.052690565223942,-0.02196790464946649,0.8046160223876239,-4.019723065107907,8.1882427257294,Emerging,VERIFIED
CEI-IN-E42E9A7AD485,"Shekhawati M.Ed. College, Dundlod",College,Rajasthan,Jhunjhunu,,C-52179,-0.27717276364082155,-0.3144884370075225,-0.43907512049436836,-0.86413965959076,0.6454170182041263,-0.012142596707622522,27.148722807848714,Moderate,VERIFIED
CEI-IN-771F76EB1F61,Murti Devi P.G. College,College,Rajasthan,Alwar,,C-55233,-0.22352642229098516,-0.9231773498994345,-1.4029937328531634,-0.2472173629699885,0.6831758956617024,-3.2951951644276836,10.600497453511785,Emerging,VERIFIED
CEI-IN-4555808940D3,NEW ERA COLLEGE,College,Karnataka,Bengaluru Urban,,C-60476,-0.8136361771391862,0.007202603143200314,-0.11760404279495631,-0.40043866794146804,-0.8449375705274601,-0.6503891139059085,23.184886888546725,Emerging,VERIFIED
CEI-IN-7D0E2DD7988B,"GOVINDAM T.T. COLLEGE,Palwas Road ,Sikar",College,Rajasthan,Sikar,,C-60805,-0.7599898357893498,0.6665830984830878,1.3692004066768069,-0.5603483248822316,-0.5028599375329489,5.477024328121796,66.46334241383394,Competitive,VERIFIED
CEI-IN-C615FB1EB384,DSSOP PHARMACY COLLEGE,College,Uttar Pradesh,Siddharthnagar,,C-61564,-0.8672825184890227,0.17124418328323618,1.4176937793653555,-0.11558192232485191,-0.3409711609148113,4.531838094258542,60.02013502309605,Moderate,VERIFIED
CEI-IN-56481E66AAB4,B585 SUNRISE DEGREE COLLEGE BIDAR,College,Karnataka,Bidar,,C-61756,-0.8672825184890227,0.39925763688942767,0.3631985883714302,0.09278549511574948,-1.0218249976300862,2.1051950573609455,42.28749654546172,Moderate,VERIFIED
