cei_id,institution_name,category,state,district,university_affiliation,source_year,verification_status,aishe_code,naac_grade,established_year
CEI-IN-E9303A985592,"Abhinav Education Society College of Engineering  & Technology, Vaddwadi,",College,Maharashtra,Satara,,2020-21,VERIFIED,C-11223,,2009
CEI-IN-324951CA8082,Directorate of Forensic Science (DFS),College,Gujarat,Gandhinagar,,2020-21,VERIFIED,C-13,,-
CEI-IN-4456D7898186,"BHM First Grade College, Besagarahalli",College,Karnataka,Mandya,,2020-21,VERIFIED,C-17436,,1992
CEI-IN-25198B9DEAD3,"Navjeevan College of Computer Science, CIDCO, Shivshakti Chowk, Nashik 422009",College,Maharashtra,Nashik,,2020-21,VERIFIED,C-41560,,-
CEI-IN-16B0BF32D57A,"KALPANA MAHAVIDYALAYA, VIJAIPUR",College,Uttar Pradesh,Fatehpur,,2020-21,VERIFIED,C-48921,,2013
CEI-IN-F6CDD453A09A,"Champa Devi Mahila Mahavidyalay, Jaunpur",College,Uttar Pradesh,Jaunpur,,2020-21,VERIFIED,C-52410,,2015
CEI-IN-D90F8D6EF12E,"BABA BIHARILAL EDUCATIONAL INSTITUTE, AMADARVESHPUR",College,Uttar Pradesh,Ambedkar Nagar,,2020-21,VERIFIED,C-52827,,-
CEI-IN-36D6CE76735A,THAKUR SHIVKUMARSINGH MEMORIAL POLYTECHNIC COLLEGE BURHANPUR,College,Madhya Pradesh,Burhanpur,,2020-21,VERIFIED,C-53504,,2015
CEI-IN-4424A4E8DE75,AZAD D.ED. TRAINING COLLEGE,College,West Bengal,Dakshin Dinajpur,,2020-21,VERIFIED,C-58398,,2016
CEI-IN-9AD113FC2AAE,JAJBA TEACHER TRAINING COLLEGE,College,Bihar,Gaya,,2020-21,VERIFIED,C-59170,,2016
CEI-IN-DCA9308DF978,JCRE Global College,College,Manipur,Imphal West,,2020-21,VERIFIED,C-61603,,2019
CEI-IN-62DC67DC37F1,Awasthi Law College,College,Himachal Pradesh,Solan,,2020-21,VERIFIED,C-63863,,2019
CEI-IN-3C96791C3AC5,CRYSTAL INSTITUTE OF FIRE SAFETY,College,Gujarat,Mahisagar,,2020-21,VERIFIED,C-66234,,2021
CEI-IN-AA7CA9DB928B,"GOVERNMENT BED COLLEGE, MEGHRAJ",College,Gujarat,Arvalli,,2020-21,VERIFIED,C-6695,,2004
CEI-IN-800E69921414,SHREE UMA GIRLS COLLEGE,College,Gujarat,Surendranagar,,2020-21,VERIFIED,C-68223,,2022
CEI-IN-AF561AD9C6B5,"JPE TRAINING COLLEGE, KOORKANCHERY",College,Kerala,Thrissur,,2020-21,VERIFIED,C-8223,,1995
